训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:80
	经验回放类大小:20000
	一次采样数：1024
第19局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:14.53, 探索率为:0.25
第20局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:14.45, 探索率为:0.25
第21局, 当前小蛇平均长度为:3.85, 小蛇平均存活步数为:13.71, 探索率为:0.24
第22局, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:13.04, 探索率为:0.24
第23局, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:15.59, 探索率为:0.24
第24局, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:14.68, 探索率为:0.24
第25局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:14.61, 探索率为:0.23
第26局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:15.06, 探索率为:0.23
第27局, 当前小蛇平均长度为:4.01, 小蛇平均存活步数为:13.44, 探索率为:0.23
第28局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:12.64, 探索率为:0.23
第29局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:15.13, 探索率为:0.22
第30局, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:15.09, 探索率为:0.22
第31局, 当前小蛇平均长度为:3.89, 小蛇平均存活步数为:15.44, 探索率为:0.22
第32局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:14.46, 探索率为:0.22
第33局, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:14.07, 探索率为:0.22
第34局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:15.70, 探索率为:0.21
第35局, 当前小蛇平均长度为:4.16, 小蛇平均存活步数为:16.07, 探索率为:0.21
第36局, 当前小蛇平均长度为:4.01, 小蛇平均存活步数为:15.82, 探索率为:0.21
第37局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:14.55, 探索率为:0.21
第38局, 当前小蛇平均长度为:3.98, 小蛇平均存活步数为:13.79, 探索率为:0.20
第39局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:14.94, 探索率为:0.20
第40局, 当前小蛇平均长度为:4.06, 小蛇平均存活步数为:14.70, 探索率为:0.20
第41局, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:14.62, 探索率为:0.20
第42局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:14.53, 探索率为:0.20
